Хмельницкий	49.416668	27
Каменец-Подольский	48.683334	26.583332
Нетишин	50.346695	26.633587
Славута	50.299999	26.866667
Староконстантинов	49.755554	27.220833
Шепетовка	50.182003	27.066854
Волочиск	49.528984	26.208408
Городок	49.163685	26.578232
Деражня	49.266666	27.433332
Дунаевцы	48.890911	26.849583
Изяслав	50.118732	26.838671
Красилов	49.651943	26.970556
Полонное	50.116669	27.516666
Летичев	49.383331	27.616667
Теофиполь	49.841946	26.411943
Житомир	50.25	28.666668
Бердичев	49.907902	28.587934
Коростень	50.96183	28.635452
Новоград-Волынский	50.583332	27.633333
Малин	50.770515	29.258142
Овруч	51.327831	28.813343
Олевск	51.223362	27.638645
Радомышль	50.496059	29.236578
Емильчино	50.872223	27.807777
Попельня	49.966389	29.443333
Винница	49.233334	28.483334
Могилёв-Подольский	48.450001	27.799999
Хмельник	49.559605	27.957466
Казатин	49.720551	28.84907
Ладыжин	48.672398	29.264328
Калиновка	49.451698	28.52494
Погребище	49.48634	29.270048
Белая Церковь	49.801945	30.115196
Бровары	50.516666	30.816668
Борисполь	50.359451	30.974171
Вишнёвое	50.386944	30.358055
Фастов	50.080322	29.915285
Буча	50.557365	30.226593
Васильков	50.178333	30.315832
Ирпень	50.521523	30.247663
Боярка	50.329166	30.28861
Обухов	50.103436	30.636269
Переяслав-Хмельницкий	50.066113	31.442223
Славутич	51.521736	30.766966
Яготин	50.276413	31.761362
Украинка	50.153088	30.743492
Вышгород	50.583332	30.5
Богуслав	49.546665	30.872778
Коцюбинское	51	30
Кагарлык	49.862064	30.819241
Гостомель	50.569168	30.265278
Чернигов	51.5	31.299999
Нежин	51.038055	31.88611
Прилуки	50.595543	32.384563
Бахмач	51.183056	32.829723
Носовка	50.933334	31.583332
Городня	51.890556	31.593611
Ичня	50.85828	32.375816
Щорс	51.816666	31.950001
Варва	50.494999	32.72361
Козелец	50.910767	31.10815
Репки	51.800476	31.096655
Десна	50.924667	30.756001
Куликовка	51.374722	31.643612
Сумы	50.894405	34.8106
Конотоп	51.240944	33.205051
Шостка	51.866669	33.483334
Ахтырка	50.295891	34.913322
Ромны	50.745621	33.491516
Глухов	51.678612	33.911388
Лебедин	50.579723	34.477222
Кролевец	51.549999	33.383331
Бурынь	51.204182	33.825142
Воронеж	51.769001	33.471912
Свесса	51.947453	33.933449
Полтава	49.595348	34.562946
Кременчуг	49.107807	33.419868
Комсомольск	49.014851	33.638905
Лубны	50.016666	33
Миргород	49.966667	33.599998
Гадяч	50.370434	34.000988
Карловка	49.450001	35.133331
Пирятин	50.237392	32.503929
Гребёнка	50.118309	32.452206
Черкассы	49.433334	32.066666
Умань	48.75	30.216667
Смела	49.213188	31.874636
Золотоноша	49.671642	32.039875
Канев	49.75	31.466667
Корсунь-Шевченковский	49.427689	31.280434
Каменка	49.030647	32.115093
Чернобай	49.670555	32.323055
Кировоград	48.521519	32.245037
Александрия	48.671577	33.095905
Светловодск	49.050323	33.224224
Долинская	48.111141	32.764771
Знаменка	48.713612	32.673332
Помошная	48.25	31.416668
Александровка	48.726391	33.302223
Новоархангельск	48.65889	30.818611
Киев	50.450001	30.523333
Луцк	50.75	25.335833
Ковель	51.21423	24.709341
Нововолынск	50.733334	24.166668
Владимир-Волынский	50.848057	24.322222
Рожище	50.896946	25.263649
Шацк	51.508942	23.942455
Старая Выжевка	51.440834	24.431667
Ровно	50.6199	26.251617
Кузнецовск	51.343655	25.849087
Костополь	50.883331	26.450001
Сарны	51.337223	26.605833
Здолбунов	50.513374	26.261707
Дубровица	51.566174	26.559423
Клевань	50.745834	26.012501
Рокитное	51.261391	27.224443
Заречное	51.808849	26.122766
Львов	49.849998	24.016666
Дрогобыч	49.349567	23.521914
Червоноград	50.386303	24.227007
Стрый	49.25573	23.846489
Борислав	49.283333	23.416668
Трускавец	49.280556	23.504999
Новый Раздол	49.471943	24.133333
Золочев	49.808334	24.901112
Броды	50.083332	25.15
Сокаль	50.483334	24.283333
Городок	49.782223	23.643612
Николаев	49.524906	23.990086
Жолква	50.058773	23.978102
Яворов	49.946945	23.393057
Жидачов	49.38139	24.140833
Каменка Бугская	50.099998	24.35
Тернополь	49.566666	25.6
Чортков	49.016666	25.799999
Кременец	50.11972	25.716667
Бережаны	49.441257	24.942978
Збараж	49.666668	25.777779
Бучач	49.064831	25.381716
Козова	49.433105	25.154863
Монастыриска	49.08889	25.169443
Ивано-Франковск	48.916668	24.716667
Калуш	49.044167	24.359722
Коломыя	48.530556	25.040277
Бурштын	49.263626	24.630482
Болехов	49.068249	23.859747
Снятын	48.450001	25.566668
Городенка	48.6675	25.500278
Тлумач	48.862583	24.998564
Косов	48.314999	25.095278
Рогатин	49.411449	24.62051
Яремче	48.460278	24.558611
Богородчаны	48.808056	24.538055
Ужгород	48.618626	22.298758
Мукачево	48.429031	22.70582
Хуст	48.181389	23.297777
Виноградов	48.149723	23.025
Берегово	48.200001	22.633333
Свалява	48.54789	23.001602
Рахов	48.061604	24.209749
Тячев	48.015438	23.570059
Иршава	48.310059	23.042372
Королёво	48.150002	23.133333
Черновцы	48.299999	25.933332
Сторожинец	48.158745	25.716639
Новоднестровск	48.573952	27.443825
Сокиряны	48.450001	27.416668
Глыбокая	48.085274	25.931515
Кельменцы	48.463333	26.829166
Кицмань	48.441223	25.764149
Харьков	49.948071	36.212299
Лозовая	48.890392	36.311512
Купянск	49.705334	37.598869
Изюм	49.212776	37.256943
Чугуев	49.835556	36.68639
Первомайский	49.389767	36.212727
Балаклея	49.459057	36.844929
Мерефа	49.814953	36.058899
Красноград	49.366669	35.450001
Песочин	49.953888	36.109165
Волчанск	50.300278	36.946667
Дергачи	50.110157	36.093513
Богодухов	50.160831	35.516388
Змиёв	49.694405	36.359547
Комсомольское	49.598331	36.528057
Солоницевка	49.996334	36.035149
Высокий	49.884998	36.111111
Кременная	49.049999	38.221111
Лутугино	48.402279	39.209122
Молодогвардейск	48.344444	39.658333
Петровское	48.305401	38.892288
Сватово	49.416668	38.150002
Старобельск	49.283333	38.916668
Алчевск	48.466667	38.799999
Антрацит	48.133602	39.095322
